date,ticker,open,high,low,close,adj_close,ajexdi,volume
2024-12-03,META,595,614.2,591.2501,613.65,613.6500,1,14842820
2024-12-03,MSFT,429.84,432.47,427.74,431.2,431.2000,1,18273550
2024-12-03,NVDA,138.26,140.54,137.95,140.26,140.2600,1,162104800
2024-12-03,WMT,92.78,93.59,92.26,93.51,93.5100,1,17754800
2024-12-03,XOM,118.72,118.72,117.255,117.67,117.6700,1,11753520
2024-12-04,AAPL,242.87,244.11,241.25,243.01,243.0100,1,44329040
2024-12-04,AMZN,215.96,220,215.75,218.16,218.1600,1,48594680
2024-12-04,GOOGL,171.145,174.91,171.06,174.37,174.3700,1,31547100
2024-12-04,JNJ,151.29,151.56,149.75,150.47,150.4700,1,10330710
2024-12-04,JPM,244.7,245.345,242.23,243.4,243.4000,1,7337854
2024-12-04,META,612.96,617.78,605.1,613.78,613.7800,1,14186410
2024-12-04,MSFT,433.03,439.67,432.63,437.42,437.4200,1,25825760
2024-12-04,NVDA,141.995,145.79,140.29,145.14,145.1400,1,229851200
2024-12-04,WMT,93.45,94.515,93.05,94.45,94.4500,1,17304890
2024-12-04,XOM,117.5,117.55,113.8612,114.28,114.2800,1,19508370
2024-12-05,AAPL,243.99,244.54,242.13,243.04,243.0400,1,37382020
2024-12-05,AMZN,218.03,222.15,217.3,220.55,220.5500,1,40757090
2024-12-05,GOOGL,175.36,176.06,172.33,172.64,172.6400,1,21300710
2024-12-05,JNJ,150,150.38,148.95,149.52,149.5200,1,7885712
2024-12-05,JPM,245.39,247.18,244.62,245.48,245.4800,1,6563701
2024-12-05,META,617.075,619.9,607.05,608.93,608.9300,1,8060101
2024-12-05,MSFT,437.92,444.66,436.171,442.62,442.6200,1,21658110
2024-12-05,NVDA,145.11,146.54,143.95,145.06,145.0600,1,171910800
2024-12-05,WMT,94.89,95.6,94.34,95.3,95.3000,1,21911040
2024-12-05,XOM,114.71,115.62,114.06,114.78,114.7800,1,15733030
2024-12-06,AAPL,242.905,244.63,242.08,242.84,242.8400,1,35846660
2024-12-06,AMZN,220.75,227.15,220.6,227.03,227.0300,1,44088760
2024-12-06,GOOGL,172.03,175.08,171.86,174.71,174.7100,1,21159400
2024-12-06,JNJ,149.39,150.05,148.38,149.31,149.3100,1,8383718
2024-12-06,JPM,245.7,247.74,244.84,247.36,247.3600,1,5518476
2024-12-06,META,610.1,629.7899,608.53,623.77,623.7700,1,16917800
2024-12-06,MSFT,442.3,446.1,441.7703,443.57,443.5700,1,18810040
2024-12-06,NVDA,144.6,145.7,141.31,142.44,142.4400,1,184805500
2024-12-06,WMT,95.54,96.18,95.33,95.7,95.7000,1,18788110
2024-12-06,XOM,114.54,114.77,113.5,113.57,113.5700,1,16162660
2024-12-09,AAPL,241.83,247.24,241.75,246.75,246.7500,1,44555320
2024-12-09,AMZN,227.21,230.08,225.67,226.09,226.0900,1,46746130
2024-12-09,GOOGL,173.96,176.26,173.65,175.37,175.3700,1,25241200
2024-12-09,JNJ,149.29,150.89,148.44,149.6,149.6000,1,8391555
2024-12-09,JPM,247.13,247.8699,243.76,243.81,243.8100,1,7074250
2024-12-09,META,623.925,626.4,606.1701,613.57,613.5700,1,11411060
2024-12-09,MSFT,442.6,448.33,440.5,446.02,446.0200,1,19115440
2024-12-09,NVDA,138.97,139.95,137.13,138.81,138.8100,1,188260700
2024-12-09,WMT,95.66,95.94,93.602,93.83,93.8300,1,20904650
2024-12-09,XOM,114.64,114.94,112.745,112.9,112.9000,1,17362040
2024-12-10,AAPL,246.89,248.21,245.34,247.77,247.7700,1,36863410
2024-12-10,AMZN,226.09,229.06,224.2002,225.04,225.0400,1,31134510
2024-12-10,GOOGL,182.845,186.36,181.05,185.17,185.1700,1,53943960
2024-12-10,JNJ,149.93,150.83,148.33,149.23,149.2300,1,9397715
2024-12-10,JPM,243.89,247.96,242.22,242.86,242.8600,1,9106216
2024-12-10,META,617.56,625.59,612.74,619.32,619.3200,1,10920650
2024-12-10,MSFT,444.39,449.62,441.6,443.33,443.3300,1,18448540
2024-12-10,NVDA,139.01,141.82,133.79,135.07,135.0700,1,209194700
2024-12-10,WMT,94.05,95.24,93.77,94.55,94.5500,1,13155380
2024-12-10,XOM,113.585,113.88,111.75,112.67,112.6700,1,20988780
2024-12-11,AAPL,247.96,250.8,246.2601,246.49,246.4900,1,44400100
2024-12-11,AMZN,226.41,231.2,226.26,230.26,230.2600,1,35113960
2024-12-11,GOOGL,185.31,195.61,184.85,195.4,195.4000,1,67582120
2024-12-11,JNJ,148.5,148.5,146.37,146.64,146.6400,1,13441670
2024-12-11,JPM,244,244.27,242.18,243.53,243.5300,1,7879900
2024-12-11,META,623.37,638.4,621.5349,632.68,632.6800,1,10818560
2024-12-11,MSFT,444.05,450.35,444.05,448.99,448.9900,1,19102940
2024-12-11,NVDA,137.36,140.17,135.21,139.31,139.3100,1,182412600
2024-12-11,WMT,94.54,95.69,94.5,94.96,94.9600,1,19663180
2024-12-11,XOM,112,112.39,111.11,111.92,111.9200,1,32385900
2024-12-12,AAPL,246.89,248.74,245.68,247.96,247.9600,1,32551880
2024-12-12,AMZN,229.83,231.09,227.63,228.97,228.9700,1,28000000
2024-12-12,GOOGL,195,195.18,191.71,191.96,191.9600,1,34036720
2024-12-12,JNJ,147.2,147.77,146.01,146.24,146.2400,1,6169809
2024-12-12,JPM,243,244.1,241.04,241.53,241.5300,1,6100712
2024-12-12,META,631.5,636.6599,627.2094,630.79,630.7900,1,7427949
2024-12-12,MSFT,449.11,456.1648,449.11,449.56,449.5600,1,20740510
2024-12-12,NVDA,137.08,138.44,135.8,137.34,137.3400,1,156125100
2024-12-12,WMT,95.68,95.715,94.09,94.09,94.0900,1,14160930
2024-12-12,XOM,111.59,112.38,110.78,111.82,111.8200,1,14519040
2024-12-13,AAPL,247.815,249.2902,246.24,248.13,248.1300,1,33006500
2024-12-13,AMZN,228.4,230.2,225.8608,227.46,227.4600,1,28632370
2024-12-13,GOOGL,191.01,192.73,189.64,189.82,189.8200,1,25081610
2024-12-13,JNJ,145.66,146.93,145.04,146.62,146.6200,1,8322967
2024-12-13,JPM,242.07,242.715,239.1437,239.94,239.9400,1,9521197
2024-12-13,META,627.22,631.08,616.886,620.35,620.3500,1,7957480
2024-12-13,MSFT,448.435,451.43,445.58,447.27,447.2700,1,20168940
2024-12-13,NVDA,138.94,139.6,132.54,134.25,134.2500,1,229708600
2024-12-13,WMT,93.8,94.68,93.04,94.25,94.2500,1,11459650
2024-12-13,XOM,111.899,111.899,110.25,110.84,110.8400,1,13103120
2024-12-16,AAPL,247.99,251.38,247.65,251.04,251.0400,1,51631580
2024-12-16,AMZN,230.23,233,228.01,232.93,232.9300,1,37485970
2024-12-16,GOOGL,192.87,199,192.62,196.66,196.6600,1,44852640
2024-12-16,JNJ,146.73,147.25,143.52,143.85,143.8500,1,8727290
2024-12-16,JPM,240.61,240.67,237.52,239.58,239.5800,1,9030294
2024-12-16,META,629.975,631.15,618.58,624.24,624.2400,1,10857060
2024-12-16,MSFT,447.27,452.18,445.28,451.59,451.5900,1,23447070
2024-12-16,NVDA,134.18,134.4,130.42,132,132.0000,1,236462400
2024-12-16,WMT,94.42,95.705,94.1048,94.87,94.8700,1,16728940
2024-12-16,XOM,110.2,110.4,108.16,108.47,108.4700,1,20243670
2024-12-17,AAPL,250.08,253.83,249.78,253.48,253.4800,1,51161200
2024-12-17,AMZN,232.39,232.73,227.85,231.15,231.1500,1,35279390
2024-12-17,GOOGL,197.25,201.42,194.98,195.42,195.4200,1,42289090
2024-12-17,JNJ,143.84,146.66,143.71,146.41,146.4100,1,10332230
2024-12-17,JPM,238.65,239.02,236.63,238.36,238.3600,1,8081387
2024-12-17,META,626.17,632.37,616.54,619.44,619.4400,1,12318530
2024-12-17,MSFT,451.01,455.29,449.57,454.46,454.4600,1,21897790
2024-12-17,NVDA,129.09,131.59,126.86,130.39,130.3900,1,255388700
2024-12-17,WMT,95.14,95.49,94.32,95.42,95.4200,1,22480060
2024-12-17,XOM,107.235,108.17,106.7869,108.01,108.0100,1,17458200
2024-12-18,AAPL,252.16,254.28,247.74,248.05,248.0500,1,56535630
2024-12-18,AMZN,230.77,231.3999,220.11,220.52,220.5200,1,42395180
2024-12-18,GOOGL,195.22,197,187.74,188.4,188.4000,1,33608480
2024-12-18,JNJ,145.678,146.74,144.67,144.75,144.7500,1,9326799
2024-12-18,JPM,239,239.07,229.53,230.37,230.3700,1,10975340
2024-12-18,META,621,627.36,596.32,597.19,597.1900,1,16635380
2024-12-18,MSFT,451.32,452.65,437.02,437.39,437.3900,1,24086890
2024-12-18,NVDA,133.86,136.7,128.28,128.91,128.9100,1,273336700
2024-12-18,WMT,95.34,95.895,93.1304,93.55,93.5500,1,24317050
2024-12-18,XOM,107.57,108.83,106.31,106.42,106.4200,1,16941840
2024-12-19,AAPL,247.5,252,247.0949,249.79,249.7900,1,59888700
2024-12-19,AMZN,224.91,226.09,222.92,223.29,223.2900,1,36333900
2024-12-19,GOOGL,191.625,193.03,188.38,188.51,188.5100,1,32169380
2024-12-19,JNJ,144.14,145.22,143.37,143.58,143.5800,1,9503249
2024-12-19,JPM,232.27,236.36,232.27,232.96,232.9600,1,11765400
2024-12-19,META,610.39,611.52,595,595.57,595.5700,1,14145360
2024-12-19,MSFT,441.62,443.1834,436.32,437.03,437.0300,1,21884030
2024-12-19,NVDA,131.76,134.03,129.55,130.68,130.6800,1,207003600
2024-12-19,WMT,94.48,94.565,93.36,93.4,93.4000,1,16579690
2024-12-19,XOM,107.39,107.67,105.21,105.51,105.5100,1,20524740
2024-12-20,AAPL,248.04,255,245.69,254.49,254.4900,1,126156600
2024-12-20,AMZN,219.84,226.21,218.73,224.92,224.9200,1,87987810
2024-12-20,GOOGL,185.78,192.89,185.22,191.41,191.4100,1,62708700
2024-12-20,JNJ,143.05,145.47,142.75,144.47,144.4700,1,17684260
2024-12-20,JPM,231.92,239.21,231.5877,237.6,237.6000,1,32290120
2024-12-20,META,590.58,603.11,580,585.25,585.2500,1,48826430
2024-12-20,MSFT,433.11,443.74,428.63,436.6,436.6000,1,54756850
2024-12-20,NVDA,129.81,135.28,128.22,134.7,134.7000,1,304431700
2024-12-20,WMT,93.01,93.7486,91.63,92.24,92.2400,1,49326250
2024-12-20,XOM,105.45,106.135,104.84,105.87,105.8700,1,40040420
2024-12-23,AAPL,254.77,255.65,253.45,255.27,255.2700,1,40807810
2024-12-23,AMZN,225.01,226.88,223.9,225.06,225.0600,1,28013880
2024-12-23,GOOGL,192.62,195.1,190.15,194.63,194.6300,1,25630630
2024-12-23,JNJ,144.63,145.33,143.45,145.27,145.2700,1,8718802
2024-12-23,JPM,236.07,238.62,234.88,238.39,238.3900,1,8605711
2024-12-23,META,589.6,601.09,586.25,599.85,599.8500,1,10189590
